activo_corriente;capital_invertido;gastos_por_prestamos;deudas_corto_plazo;patrimonio_empresa;provincia;ganancia_operativa;total_activo;deudas_largo_plazo;total_pasivo_y_patrimonio;numero_empleados;ventas_netas;canal_principal;cantidad_canales_venta;publicidad;vende_por_catalogo;vende_con_comisionistas;vende_a_domicilio;vende_en_linea;vende_en_ferias;vende_en_maquinas_venta;vende_en_tienda;otros_medios_venta;vende_por_telefono;usa_ventas_comisionistas;uso_de_software;ventas_ventas_comisionistas;sobrevive_2años
3714581;734800;1370126;233624;2149217;1501;0;4047688;1664847;4047688;6;2355446;ventas_domicilio;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
2681098;50000;398743;748784;1967191;1501;28009;2715975;0;2715975;8;2463018;ventas_telefono;2;1;0;0;0;1;0;0;0;0;1;0;0;0;0
2046407;3000;1244817;1188788;1291269;1501;0;2480057;0;2480057;20;3458936;ventas_otros;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
3429335;23160;350681;2996274;442336;1501;0;3438610;0;3438610;2;3388795;ventas_mostrador;2;1;0;0;1;0;0;0;1;0;0;0;0;0;1
178483;91050;21824;68367;216033;1501;0;292062;7662;292062;3;2873455;ventas_maquinas;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
315403;5000;350130;1201;667766;1501;0;668967;0;668967;6;5283598;ventas_maquinas;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1638287;199736;541251;714011;460334;1501;0;1810145;635800;1810145;8;5489829;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2066139;18545;775552;2333096;779926;1501;12;3159451;46429;3159451;7;4300790;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
694509;285598;489232;79474;774399;1506;0;853873;0;853873;5;3219097;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2406205;110000;646734;1628607;804714;1501;12396;2433321;0;2433321;19;4871657;ventas_domicilio;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1
669225;26676;701610;793324;620447;1501;0;1413771;0;1413771;9;7012305;ventas_ecommerce;2;1;0;0;0;1;0;0;1;0;0;0;0;0;1
3249681;462403;3982528;345409;6435680;1501;0;6781089;0;6781089;18;8235917;ventas_ecommerce;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1
501647;6000;241448;147917;218935;1501;0;681383;314531;681383;6;2876878;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
812972;250000;345606;120108;1249088;1501;21186;1369196;0;1369196;4;3893625;ventas_maquinas;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
409858;1;795830;34747;219543;1501;727;1395277;1140987;1395277;8;2721956;ventas_maquinas;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1991730;1800622;1001072;1097836;2246100;1501;10803;4712614;1368678;4712614;12;4876424;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1351979;141000;345381;243962;540044;1501;0;1613457;829451;1613457;4;4453107;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
796437;32300;387320;156018;656339;1501;0;812357;0;812357;3;4468516;ventas_maquinas;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
2091554;268100;973643;1251977;1055377;1501;0;2307354;0;2307354;7;3077951;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1032527;166643;257587;407971;684016;1501;562;1091987;0;1091987;5;2655173;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
4362170;662997;434342;3979008;2328075;1501;106113;6366425;59342;6366425;3;2731898;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
371678;515350;34073;0;768143;1501;0;769514;1371;769514;2;3218109;ventas_maquinas;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
3457187;2147202;23554;283117;3679823;1501;54782;4363224;400284;4363224;7;114821;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2194993;90000;884614;0;2297324;1501;0;2312294;14970;2312294;3;6460528;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
4963236;733557;734287;1826591;3548829;1501;0;5375420;0;5375420;10;4387767;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
3704450;473227;1046730;1087487;2967923;1501;178961;4133763;78353;4133763;16;4602740;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1526296;5000;447726;749011;1238696;1501;0;1987707;0;1987707;3;6192528;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1358816;230965;680042;1047238;587115;1501;0;1634353;0;1634353;17;2378832;ventas_mostrador;3;1;0;0;0;1;1;0;1;0;0;0;0;0;0
729394;50000;160905;344727;294875;1501;0;729602;90000;729602;6;3495455;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
3154952;10156;640269;1263730;1891585;1501;102006;3155315;0;3155315;3;3511860;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
594370;1332602;454723;152954;1626433;1501;13937;3337132;1557745;3337132;5;3140975;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1663495;30000;588409;392428;1287597;1501;0;1680025;0;1680025;4;4043924;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6047967;200000;-507081;310;1992083;1501;0;11916772;9924379;11916772;6;5886037;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
262027;100000;163160;11892;268303;1501;0;280195;0;280195;3;4577702;ventas_telefono;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1163470;50000;123815;674635;489038;1501;0;1163673;0;1163673;4;3721748;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
393084;10000;670778;325923;461121;1501;0;788467;1423;788467;19;5539190;ventas_maquinas;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1579918;470000;353503;1840;1761968;1501;0;1763808;0;1763808;8;2803554;ventas_otros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
561314;26375;130681;362734;303084;1501;0;665818;0;665818;1;2661718;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1316904;193792;292163;164513;1741150;1501;0;1905663;0;1905663;6;4292539;ventas_maquinas;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0
